WB_Code,Year,Avg_Work_Hours_Per_Year
CZE,2002,1812.4
CZE,2003,1799.2
CZE,2004,1813.6
CZE,2005,1802.7
CZE,2006,1789.1
CZE,2007,1774.7
CZE,2008,1789.3
CZE,2009,1779.3
CZE,2010,1798.8
CZE,2011,1804.8
CZE,2012,1774.4
CZE,2013,1761.2
CZE,2014,1771.8
CZE,2015,1749.7
CZE,2016,1773.2
CZE,2017,1775.6
CZE,2018,1783.6
CZE,2019,1783.2
CZE,2020,1672.9
CZE,2021,1721.6
CZE,2022,1779.4
CZE,2023,1774.2
DEU,2000,1464.5
DEU,2001,1457.4
DEU,2002,1448.3
DEU,2003,1443.1
DEU,2004,1442.7
DEU,2005,1431.9
DEU,2006,1452.4
DEU,2007,1453.9
DEU,2008,1446.9
DEU,2009,1406.8
DEU,2010,1425.4
DEU,2011,1427.2
DEU,2012,1406.0
DEU,2013,1395.7
DEU,2014,1400.0
DEU,2015,1401.6
DEU,2016,1395.8
DEU,2017,1388.2
DEU,2018,1380.7
DEU,2019,1372.0
DEU,2020,1313.6
DEU,2021,1341.9
DEU,2022,1340.1
DEU,2023,1335.3
DNK,2000,1465.9
DNK,2001,1468.7
DNK,2002,1462.6
DNK,2003,1457.8
DNK,2004,1458.1
DNK,2005,1451.4
DNK,2006,1455.7
DNK,2007,1432.8
DNK,2008,1430.0
DNK,2009,1416.9
DNK,2010,1422.3
DNK,2011,1436.8
DNK,2012,1423.3
DNK,2013,1425.7
DNK,2014,1413.6
DNK,2015,1406.9
DNK,2016,1412.0
DNK,2017,1404.1
DNK,2018,1380.8
DNK,2019,1372.4
DNK,2020,1340.6
DNK,2021,1388.9
DNK,2022,1385.0
DNK,2023,1379.9
ESP,2000,1753.1
ESP,2001,1762.7
ESP,2002,1762.2
ESP,2003,1751.3
ESP,2004,1735.1
ESP,2005,1718.0
ESP,2006,1707.0
ESP,2007,1694.9
ESP,2008,1705.1
ESP,2009,1711.2
ESP,2010,1703.2
ESP,2011,1708.6
ESP,2012,1699.2
ESP,2013,1688.1
ESP,2014,1688.1
ESP,2015,1690.0
ESP,2016,1696.8
ESP,2017,1688.8
ESP,2018,1693.5
ESP,2019,1678.2
ESP,2020,1562.7
ESP,2021,1633.5
ESP,2022,1653.4
ESP,2023,1638.0
EST,2000,1883.5
EST,2001,1876.5
EST,2002,1878.6
EST,2003,1884.0
EST,2004,1891.7
EST,2005,1912.6
EST,2006,1905.6
EST,2007,1903.2
EST,2008,1873.9
EST,2009,1744.8
EST,2010,1785.3
EST,2011,1827.3
EST,2012,1795.8
EST,2013,1776.9
EST,2014,1770.7
EST,2015,1763.3
EST,2016,1766.7
EST,2017,1768.1
EST,2018,1707.3
EST,2019,1694.3
EST,2020,1637.2
EST,2021,1625.5
EST,2022,1601.7
EST,2023,1605.7
FIN,2000,1652.6
FIN,2001,1638.0
FIN,2002,1630.3
FIN,2003,1624.5
FIN,2004,1626.4
FIN,2005,1615.7
FIN,2006,1610.9
FIN,2007,1607.0
FIN,2008,1603.1
FIN,2009,1582.8
FIN,2010,1587.6
FIN,2011,1579.9
FIN,2012,1568.2
FIN,2013,1560.5
FIN,2014,1556.6
FIN,2015,1555.6
FIN,2016,1554.7
FIN,2017,1548.9
FIN,2018,1546.9
FIN,2019,1537.2
FIN,2020,1529.5
FIN,2021,1527.5
FIN,2022,1513.0
FIN,2023,1497.5
FRA,2000,1542.1
FRA,2001,1523.1
FRA,2002,1489.7
FRA,2003,1493.4
FRA,2004,1517.3
FRA,2005,1518.6
FRA,2006,1503.4
FRA,2007,1525.3
FRA,2008,1531.9
FRA,2009,1520.0
FRA,2010,1528.0
FRA,2011,1533.7
FRA,2012,1527.9
FRA,2013,1512.8
FRA,2014,1504.2
FRA,2015,1504.3
FRA,2016,1507.4
FRA,2017,1492.0
FRA,2018,1499.7
FRA,2019,1504.4
FRA,2020,1390.8
FRA,2021,1468.6
FRA,2022,1493.8
FRA,2023,1488.5
GBR,2000,1526.0
GBR,2001,1530.5
GBR,2002,1511.7
GBR,2003,1502.7
GBR,2004,1502.7
GBR,2005,1524.2
GBR,2006,1504.5
GBR,2007,1512.5
GBR,2008,1516.1
GBR,2009,1491.9
GBR,2010,1491.9
GBR,2011,1481.1
GBR,2012,1497.3
GBR,2013,1523.3
GBR,2014,1517.0
GBR,2015,1513.4
GBR,2016,1541.3
GBR,2017,1521.5
GBR,2018,1519.7
GBR,2019,1509.0
GBR,2020,1207.3
GBR,2021,1485.6
GBR,2022,1505.4
GBR,2023,1496.4
GRC,2000,1997.9
GRC,2001,1991.7
GRC,2002,1984.2
GRC,2003,1982.6
GRC,2004,1974.1
GRC,2005,2025.0
GRC,2006,2014.7
GRC,2007,2001.1
GRC,2008,1996.6
GRC,2009,1972.9
GRC,2010,1931.1
GRC,2011,1950.2
GRC,2012,1989.9
GRC,2013,1996.6
GRC,2014,1949.3
GRC,2015,1935.0
GRC,2016,1942.7
GRC,2017,1946.9
GRC,2018,1961.1
GRC,2019,1917.6
GRC,2020,1735.4
GRC,2021,1853.8
GRC,2022,1881.7
GRC,2023,1893.1
HRV,2000,1922.0
HRV,2001,1923.0
HRV,2002,1923.0
HRV,2003,1924.0
HRV,2004,1926.0
HRV,2005,1926.0
HRV,2006,1928.0
HRV,2007,1930.0
HUN,2000,1940.3
HUN,2001,1906.4
HUN,2002,1892.0
HUN,2003,1857.1
HUN,2004,1850.9
HUN,2005,1827.1
HUN,2006,1817.9
HUN,2007,1795.2
HUN,2008,1790.6
HUN,2009,1755.3
HUN,2010,1759.8
HUN,2011,1747.2
HUN,2012,1744.7
HUN,2013,1740.7
HUN,2014,1749.0
HUN,2015,1742.8
HUN,2016,1755.9
HUN,2017,1749.7
HUN,2018,1736.9
HUN,2019,1728.3
HUN,2020,1653.1
HUN,2021,1682.4
HUN,2022,1691.6
HUN,2023,1671.1
IRL,2011,1668.0
IRL,2012,1663.0
IRL,2019,1742.0
ISL,2000,1728.7
ISL,2001,1714.4
ISL,2002,1714.5
ISL,2003,1682.4
ISL,2004,1686.9
ISL,2005,1614.8
ISL,2006,1588.3
ISL,2007,1553.9
ISL,2008,1625.2
ISL,2009,1536.4
ISL,2010,1527.9
ISL,2011,1537.7
ISL,2012,1523.1
ISL,2013,1524.1
ISL,2014,1513.4
ISL,2015,1511.4
ISL,2016,1520.0
ISL,2017,1507.1
ISL,2018,1496.5
ISL,2019,1480.1
ISL,2020,1464.4
ISL,2021,1460.4
ISL,2022,1459.9
ISL,2023,1452.0
ISR,2000,2033.0
ISR,2001,1992.2
ISR,2002,2008.5
ISR,2003,1989.0
ISR,2004,1966.2
ISR,2005,1957.1
ISR,2006,1945.0
ISR,2007,1957.9
ISR,2008,1955.7
ISR,2009,1956.0
ISR,2010,1950.3
ISR,2011,1941.9
ISR,2012,1916.6
ISR,2013,1906.8
ISR,2014,1893.3
ISR,2015,1894.4
ISR,2016,1918.5
ISR,2017,1918.0
ISR,2018,1910.7
ISR,2019,1894.9
ISR,2020,1778.4
ISR,2021,1877.4
ISR,2022,1890.9
ISR,2023,1880.8
ITA,2000,1827.7
ITA,2001,1818.2
ITA,2002,1801.0
ITA,2003,1784.3
ITA,2004,1783.6
ITA,2005,1779.9
ITA,2006,1781.1
ITA,2007,1786.2
ITA,2008,1775.4
ITA,2009,1742.6
ITA,2010,1743.2
ITA,2011,1739.0
ITA,2012,1700.6
ITA,2013,1687.5
ITA,2014,1685.6
ITA,2015,1688.1
ITA,2016,1692.1
ITA,2017,1690.7
ITA,2018,1690.2
ITA,2019,1680.5
ITA,2020,1513.9
ITA,2021,1653.0
ITA,2022,1691.3
ITA,2023,1701.4
JPN,2000,1821.0
JPN,2001,1809.0
JPN,2002,1798.0
JPN,2003,1799.0
JPN,2004,1785.0
JPN,2005,1777.0
JPN,2006,1786.0
JPN,2007,1785.0
JPN,2008,1771.0
JPN,2009,1714.0
JPN,2010,1733.0
JPN,2011,1728.0
JPN,2012,1745.0
JPN,2013,1734.0
JPN,2014,1729.0
JPN,2015,1719.0
JPN,2016,1714.0
JPN,2017,1709.0
JPN,2018,1680.0
JPN,2019,1644.0
KOR,2021,1910.0
LTU,2000,1657.8
LTU,2001,1645.6
LTU,2002,1619.1
LTU,2003,1604.0
LTU,2004,1685.6
LTU,2005,1688.6
LTU,2006,1681.0
LTU,2007,1708.2
LTU,2008,1733.3
LTU,2009,1670.8
LTU,2010,1697.5
LTU,2011,1675.0
LTU,2012,1673.0
LTU,2013,1658.3
LTU,2014,1650.7
LTU,2015,1673.2
LTU,2016,1694.3
LTU,2017,1656.9
LTU,2018,1664.1
LTU,2019,1665.7
LTU,2020,1595.6
LTU,2021,1619.3
LTU,2022,1625.0
LTU,2023,1640.4
LUX,2000,1605.0
LUX,2001,1593.0
LUX,2002,1588.0
LUX,2003,1586.0
LUX,2004,1586.0
LUX,2006,1567.0
LUX,2007,1581.0
LUX,2008,1581.0
LUX,2009,1518.0
LUX,2010,1521.0
LUX,2012,1514.0
LUX,2013,1506.0
LUX,2014,1512.0
LUX,2015,1519.0
LUX,2016,1518.0
LUX,2017,1508.0
LUX,2018,1499.0
LUX,2019,1493.0
LVA,2000,1864.7
LVA,2001,1872.5
LVA,2002,1841.7
LVA,2003,1836.0
LVA,2004,1802.2
LVA,2005,1842.1
LVA,2006,1829.0
LVA,2007,1793.6
LVA,2008,1751.1
LVA,2009,1707.3
LVA,2010,1692.4
LVA,2011,1707.0
LVA,2012,1691.6
LVA,2013,1685.9
LVA,2014,1695.3
LVA,2015,1663.2
LVA,2016,1663.8
LVA,2017,1649.9
LVA,2018,1661.2
LVA,2019,1660.6
LVA,2020,1570.7
LVA,2021,1597.5
LVA,2022,1630.3
LVA,2023,1625.2
MEX,2004,2123.0
MLT,2005,2167.0
MLT,2006,2175.0
MLT,2007,2171.0
NLD,2000,1485.9
NLD,2001,1475.8
NLD,2002,1458.4
NLD,2003,1449.8
NLD,2004,1459.5
NLD,2005,1450.0
NLD,2006,1449.1
NLD,2007,1451.5
NLD,2008,1447.4
NLD,2009,1438.1
NLD,2010,1437.4
NLD,2011,1435.5
NLD,2012,1430.2
NLD,2013,1438.8
NLD,2014,1446.6
NLD,2015,1449.7
NLD,2016,1459.7
NLD,2017,1463.5
NLD,2018,1463.4
NLD,2019,1465.4
NLD,2020,1416.2
NLD,2021,1445.2
NLD,2022,1449.8
NLD,2023,1449.2
NOR,2000,1448.0
NOR,2001,1424.0
NOR,2002,1412.0
NOR,2003,1401.0
NOR,2004,1423.0
NOR,2005,1429.0
NOR,2006,1426.0
NOR,2007,1438.0
NOR,2008,1443.0
NOR,2009,1422.0
NOR,2010,1430.0
NOR,2011,1435.0
NOR,2012,1431.0
NOR,2013,1421.0
NOR,2014,1424.0
NOR,2015,1427.0
NOR,2016,1430.0
NOR,2017,1419.0
NOR,2018,1419.0
NOR,2019,1419.0
NOR,2020,1410.0
NOR,2021,1426.0
NZL,2021,1730.0
NZL,2022,1748.0
PER,2004,2452.0
PER,2005,2452.0
PER,2006,2435.0
PER,2007,2455.0
PER,2008,2456.0
PER,2009,2424.0
PER,2010,2395.0
PER,2011,2372.0
PER,2012,2362.0
PER,2013,2336.0
PER,2014,2325.0
PER,2015,2334.0
PER,2016,2309.0
PER,2017,2312.0
PER,2018,2333.0
PER,2019,2329.0
PER,2020,2253.0
PER,2021,2303.0
PER,2022,2232.0
PER,2023,2252.0
POL,2000,1858.3
POL,2001,1860.1
POL,2002,1855.5
POL,2003,1860.5
POL,2004,1860.9
POL,2005,1856.0
POL,2006,1857.3
POL,2007,1854.7
POL,2008,1847.5
POL,2009,1833.6
POL,2010,1829.0
POL,2011,1824.3
POL,2012,1819.7
POL,2013,1816.4
POL,2014,1822.3
POL,2015,1829.2
POL,2016,1831.4
POL,2017,1811.6
POL,2018,1787.3
POL,2019,1796.5
POL,2020,1779.2
POL,2021,1827.9
POL,2022,1818.4
POL,2023,1806.9
PRT,2000,1780.0
PRT,2001,1764.6
PRT,2002,1758.2
PRT,2003,1751.6
PRT,2004,1757.3
PRT,2005,1759.2
PRT,2006,1748.3
PRT,2007,1764.2
PRT,2008,1752.0
PRT,2009,1752.4
PRT,2010,1755.0
PRT,2011,1729.6
PRT,2012,1708.6
PRT,2013,1718.8
PRT,2014,1726.3
PRT,2015,1731.8
PRT,2016,1737.5
PRT,2017,1727.0
PRT,2018,1736.8
PRT,2019,1741.3
PRT,2020,1630.8
PRT,2021,1680.5
PRT,2022,1720.2
PRT,2023,1734.9
ROU,2000,1853.0
ROU,2001,1852.5
ROU,2002,1867.2
ROU,2003,1837.1
ROU,2004,1886.6
ROU,2005,1877.0
ROU,2006,1836.1
ROU,2007,1839.9
ROU,2008,1835.2
ROU,2009,1815.5
ROU,2010,1840.7
ROU,2011,1849.3
ROU,2012,1811.5
ROU,2013,1806.5
ROU,2014,1792.5
ROU,2015,1785.7
ROU,2016,1809.0
ROU,2017,1785.8
ROU,2018,1787.0
ROU,2019,1803.1
ROU,2020,1756.3
ROU,2021,1823.5
ROU,2022,1802.5
ROU,2023,1825.9
RUS,2019,1965.0
RUS,2020,1874.0
SVK,2000,1816.0
SVK,2001,1801.0
SVK,2002,1754.0
SVK,2003,1698.0
SVK,2004,1742.0
SVK,2005,1769.0
SVK,2006,1774.0
SVK,2007,1791.0
SVK,2008,1793.0
SVK,2009,1780.0
SVK,2010,1805.0
SVK,2011,1793.0
SVK,2012,1789.0
SVK,2013,1772.0
SVK,2014,1760.0
SVK,2015,1754.0
SVK,2016,1740.0
SVK,2017,1714.0
SVK,2018,1704.0
SVK,2019,1692.0
SVK,2020,1572.0
SVN,2000,1710.0
SVN,2001,1696.0
SVN,2002,1720.0
SVN,2004,1737.0
SVN,2005,1697.0
SVN,2006,1667.0
SVN,2007,1655.0
SVN,2008,1673.0
SVN,2009,1679.0
SVN,2010,1680.0
SVN,2011,1663.0
SVN,2012,1644.0
SVN,2013,1662.0
SVN,2014,1682.0
SVN,2015,1687.0
SVN,2016,1652.0
SVN,2017,1622.0
SVN,2018,1603.0
SVN,2019,1601.0
SVN,2022,1610.0
SWE,2000,1489.0
SWE,2001,1468.1
SWE,2002,1446.4
SWE,2003,1432.8
SWE,2004,1452.7
SWE,2005,1451.8
SWE,2006,1450.0
SWE,2007,1461.8
SWE,2008,1474.5
SWE,2009,1460.0
SWE,2010,1485.4
SWE,2011,1486.3
SWE,2012,1472.7
SWE,2013,1464.5
SWE,2014,1465.4
SWE,2015,1466.3
SWE,2016,1478.1
SWE,2017,1465.4
SWE,2018,1464.5
SWE,2019,1450.9
SWE,2020,1421.9
SWE,2021,1441.0
SWE,2022,1435.5
SWE,2023,1431.0
TUR,2000,1937.0
TUR,2001,1942.0
TUR,2002,1943.0
TUR,2003,1943.0
TUR,2004,1918.0
TUR,2005,1936.0
TUR,2006,1944.0
TUR,2007,1911.0
TUR,2008,1900.0
TUR,2009,1881.0
TUR,2010,1877.0
TUR,2011,1864.0
TUR,2012,1855.0
TUR,2013,1832.0
USA,2000,1879.8
USA,2001,1859.9
USA,2002,1854.0
USA,2003,1844.1
USA,2004,1845.1
USA,2005,1842.1
USA,2006,1846.8
USA,2007,1841.9
USA,2008,1830.4
USA,2009,1798.8
USA,2010,1810.4
USA,2011,1820.3
USA,2012,1827.1
USA,2013,1825.4
USA,2014,1830.4
USA,2015,1831.1
USA,2016,1822.4
USA,2017,1820.4
USA,2018,1825.7
USA,2019,1822.6
USA,2020,1799.8
USA,2021,1819.9
USA,2022,1810.9
USA,2023,1805.0
